epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,363.489,0.54052,0.60158,1.21199,0.97737,0.95203,0.97887,0.95188,0.37861,0.46151,0.52947,0.000173264,0.000173264,0.000173264
82,367.861,0.54095,0.58906,1.22636,0.98964,0.92735,0.97944,0.96453,0.33619,0.42264,0.48417,0.000165017,0.000165017,0.000165017
83,372.188,0.51438,0.58195,1.19923,0.97229,0.92457,0.9749,0.94869,0.37969,0.4579,0.54176,0.000156771,0.000156771,0.000156771
84,376.538,0.51267,0.58097,1.20902,0.96975,0.92901,0.97957,0.9491,0.37741,0.44454,0.5531,0.000148524,0.000148524,0.000148524
85,380.827,0.50562,0.56735,1.18767,0.97771,0.92975,0.9807,0.93649,0.40561,0.43389,0.57275,0.000140277,0.000140277,0.000140277
86,385.191,0.51708,0.59517,1.19024,0.97163,0.91316,0.97931,0.9591,0.36189,0.46758,0.51287,0.000132031,0.000132031,0.000132031
87,389.511,0.50736,0.57843,1.18391,0.9625,0.93143,0.97956,0.95834,0.3618,0.4423,0.50371,0.000123784,0.000123784,0.000123784
88,393.956,0.49498,0.56218,1.18945,0.97908,0.93331,0.98258,0.96556,0.36029,0.43267,0.51395,0.000115537,0.000115537,0.000115537
89,398.262,0.49044,0.55383,1.17579,0.97788,0.9454,0.98089,0.96569,0.35936,0.44037,0.5102,0.00010729,0.00010729,0.00010729
90,402.587,0.51966,0.572,1.18824,0.98358,0.93727,0.98089,0.96866,0.33016,0.42122,0.47158,9.90437e-05,9.90437e-05,9.90437e-05
91,428.241,0.15579,0.47096,0.99017,0.97305,0.94197,0.97533,0.97171,0.27776,0.45528,0.39212,9.0797e-05,9.0797e-05,9.0797e-05
92,432.706,0.09906,0.26752,0.94867,0.96832,0.93114,0.97709,0.97381,0.21854,0.52246,0.31204,8.25503e-05,8.25503e-05,8.25503e-05
93,437.003,0.08476,0.25454,0.93808,0.9768,0.936,0.97968,0.97609,0.25607,0.50389,0.35289,7.43036e-05,7.43036e-05,7.43036e-05
94,441.834,0.07356,0.21411,0.93734,0.97311,0.94023,0.97711,0.97505,0.25455,0.4997,0.34618,6.60569e-05,6.60569e-05,6.60569e-05
95,446.219,0.07145,0.19417,0.91368,0.96748,0.95123,0.9806,0.97958,0.23803,0.46796,0.32968,5.78102e-05,5.78102e-05,5.78102e-05
96,450.626,0.06839,0.19076,0.9188,0.9798,0.94571,0.98264,0.98153,0.24981,0.47466,0.35293,4.95635e-05,4.95635e-05,4.95635e-05
97,454.913,0.06828,0.19293,0.90823,0.9575,0.96732,0.98102,0.98102,0.2388,0.46407,0.33675,4.13168e-05,4.13168e-05,4.13168e-05
98,459.307,0.06509,0.18104,0.92247,0.9753,0.95506,0.97976,0.97976,0.22158,0.46943,0.30838,3.30701e-05,3.30701e-05,3.30701e-05
99,463.835,0.06449,0.17155,0.90173,0.95949,0.96659,0.98208,0.98208,0.22002,0.4591,0.30672,2.48234e-05,2.48234e-05,2.48234e-05
100,468.237,0.05748,0.19459,0.92545,0.96163,0.96437,0.982,0.982,0.21355,0.43951,0.30384,1.65767e-05,1.65767e-05,1.65767e-05
